Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
13,Canterbury,113,Timaru,Secondary,599800,Timaru Gardens,1590,11,1.3
5,Gisborne,502,Rural (Incl.some Off Shore Islands),Rural,544002,Tiniroto,2100,6,0.5
13,Canterbury,112,Ashburton,Secondary,597860,Tinwald,3270,3,0.2
3,Waikato,501,Rural Centre,Rural,535100,Tirau,740,1,0.3
8,Manawatu-Wanganui,502,Rural (Incl.some Off Shore Islands),Rural,531732,Tiroa,60,0,
9,Wellington,18,Lower Hutt Zone,Main,569401,Tirohanga,1250,1,0.2
15,Southland,24,Invercargill,Main,611900,Tisbury,290,1,0.7
9,Wellington,19,Porirua Zone,Main,570400,Titahi Bay North,2580,19,1.4
9,Wellington,19,Porirua Zone,Main,570600,Titahi Bay South,3680,13,0.7
2,Auckland,3,Western Auckland Zone,Main,512000,Titirangi South,3700,3,0.2
15,Southland,502,Rural (Incl.some Off Shore Islands),Rural,610075,Tiwai Point,0,0,
15,Southland,502,Rural (Incl.some Off Shore Islands),Rural,610080,Toetoes,1690,0,
17,Nelson,21,Nelson,Main,583201,Toi Toi,1810,8,0.8
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,541348,Tokaanu,210,0,
3,Waikato,8,Te Awamutu Zone,Main,527925,Tokanui,470,15,6.1
7,Taranaki,502,Rural (Incl.some Off Shore Islands),Rural,553003,Toko,1210,4,0.6
8,Manawatu-Wanganui,501,Rural Centre,Rural,563801,Tokomaru,570,0,
5,Gisborne,501,Rural Centre,Rural,543303,Tokomaru Bay,410,4,1.9
8,Manawatu-Wanganui,502,Rural (Incl.some Off Shore Islands),Rural,560422,Tokorangi-Hiwinui,2570,4,0.3
3,Waikato,102,Tokoroa,Secondary,535350,Tokoroa Central,790,47,11.4
5,Gisborne,501,Rural Centre,Rural,544004,Tolaga Bay,830,4,0.9
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,541346,Tongariro,540,6,2.1
2,Auckland,2,Northern Auckland Zone,Main,506903,Torbay,5330,2,0.1
2,Auckland,5,Southern Auckland Zone,Main,523814,Totara Heights,6340,8,0.2
9,Wellington,17,Upper Hutt Zone,Main,566900,Totara Park,3000,5,0.3
12,WestCoast,502,Rural (Incl.some Off Shore Islands),Rural,585319,Totara River,60,0,
17,Nelson,21,Nelson,Main,582500,Trafalgar,550,138,48
13,Canterbury,22,Christchurch,Main,592820,Travis,2100,7,0.6
13,Canterbury,22,Christchurch,Main,590501,Travis Wetland,5090,6,0.2
9,Wellington,17,Upper Hutt Zone,Main,567700,Trentham North,2960,9,0.6
9,Wellington,17,Upper Hutt Zone,Main,564520,Trentham South,1150,24,4
